iter	Passed	Remaining
0	49	24723
1	51	12725
2	52	8741
3	54	6749
4	56	5554
5	57	4756
6	59	4184
7	61	3769
8	63	3445
9	65	3185
10	66	2973
11	68	2797
12	70	2646
13	72	2518
14	74	2402
15	76	2303
16	78	2216
17	79	2138
18	81	2069
19	83	2004
20	85	1948
21	87	1896
22	89	1849
23	91	1804
24	92	1764
25	94	1725
26	96	1690
27	98	1659
28	100	1628
29	102	1599
30	103	1571
31	105	1546
32	107	1521
33	109	1498
34	111	1477
35	112	1456
36	114	1436
37	116	1418
38	118	1400
39	120	1383
40	122	1366
41	123	1351
42	125	1337
43	127	1323
44	129	1312
45	131	1299
46	133	1286
47	135	1274
48	137	1264
49	139	1253
50	141	1242
51	142	1231
52	144	1221
53	146	1211
54	148	1201
55	150	1192
56	152	1182
57	153	1173
58	155	1164
59	157	1156
60	159	1147
61	161	1139
62	163	1131
63	164	1123
64	166	1114
65	168	1105
66	169	1096
67	171	1087
68	172	1078
69	174	1070
70	175	1060
71	176	1051
72	178	1042
73	179	1033
74	180	1025
75	182	1016
76	183	1007
77	184	999
78	185	990
79	187	982
80	188	974
81	189	965
82	190	957
83	191	950
84	193	942
85	194	935
86	195	927
87	196	920
88	197	913
89	199	906
90	200	899
91	201	893
92	202	886
93	203	880
94	204	873
95	206	867
96	207	861
97	208	855
98	209	849
99	211	844
100	212	838
101	213	833
102	214	827
103	215	821
104	217	816
105	218	811
106	219	806
107	220	800
108	221	795
109	223	790
110	224	785
111	225	780
112	226	775
113	227	771
114	228	766
115	230	761
116	231	757
117	232	752
118	233	748
119	234	743
120	236	739
121	237	735
122	238	730
123	239	726
124	240	722
125	242	718
126	243	714
127	244	710
128	245	706
129	246	702
130	248	698
131	249	696
132	251	694
133	252	690
134	254	686
135	255	683
136	256	679
137	258	677
138	259	675
139	261	672
140	263	669
141	264	667
142	265	663
143	267	660
144	268	656
145	269	653
146	270	649
147	271	646
148	273	643
149	274	639
150	275	636
151	276	633
152	277	630
153	279	627
154	280	623
155	281	620
156	282	617
157	283	614
158	285	611
159	286	608
160	287	605
161	288	602
162	289	599
163	291	596
164	292	593
165	293	590
166	294	587
167	296	585
168	297	582
169	298	579
170	299	576
171	300	573
172	302	571
173	303	568
174	304	565
175	305	563
176	307	560
177	308	557
178	309	555
179	310	552
180	312	549
181	313	547
182	314	544
183	315	542
184	316	539
185	318	536
186	319	534
187	320	531
188	322	530
189	323	527
190	324	525
191	325	522
192	327	520
193	328	517
194	329	515
195	330	512
196	332	510
197	333	508
198	334	506
199	335	503
200	337	501
201	338	499
202	339	496
203	340	494
204	342	492
205	343	490
206	344	487
207	345	485
208	347	483
209	348	481
210	349	479
211	351	476
212	352	474
213	353	472
214	354	470
215	356	468
216	357	466
217	358	463
218	359	461
219	361	459
220	362	457
221	363	455
222	364	453
223	366	451
224	367	449
225	368	447
226	370	444
227	371	442
228	372	440
229	373	438
230	375	436
231	376	434
232	377	432
233	378	430
234	380	428
235	381	426
236	382	424
237	383	422
238	385	420
239	386	418
240	387	416
241	389	414
242	390	412
243	391	410
244	392	408
245	394	406
246	395	405
247	396	403
248	397	401
249	399	399
250	400	397
251	401	395
252	402	393
253	404	391
254	405	389
255	406	387
256	408	385
257	409	384
258	410	382
259	412	380
260	413	378
261	414	376
262	415	374
263	417	373
264	418	371
265	419	369
266	421	367
267	422	365
268	423	363
269	425	362
270	426	360
271	427	358
272	429	357
273	430	355
274	431	353
275	433	351
276	434	349
277	435	348
278	437	346
279	438	344
280	439	342
281	441	341
282	442	339
283	443	337
284	445	335
285	446	334
286	447	332
287	449	330
288	450	328
289	451	327
290	452	325
291	454	323
292	455	321
293	456	320
294	458	318
295	459	316
296	460	314
297	462	313
298	463	311
299	464	309
300	465	308
301	467	306
302	468	304
303	469	302
304	471	301
305	472	299
306	473	297
307	475	296
308	476	294
309	477	292
310	479	291
311	480	289
312	481	287
313	482	286
314	484	284
315	485	282
316	487	281
317	488	279
318	489	277
319	490	276
320	492	274
321	493	272
322	494	271
323	496	269
324	497	267
325	498	266
326	500	264
327	501	262
328	502	261
329	504	259
330	505	257
331	506	256
332	507	254
333	509	253
334	510	251
335	511	249
336	513	248
337	514	246
338	515	244
339	517	243
340	518	241
341	519	240
342	520	238
343	522	236
344	523	235
345	524	233
346	526	232
347	527	230
348	529	228
349	530	227
350	531	225
351	532	224
352	534	222
353	535	220
354	536	219
355	538	217
356	539	216
357	540	214
358	542	213
359	543	211
360	545	209
361	546	208
362	547	206
363	549	205
